image_id,specimen_id,species_code,file_path,source,view_type,annotator,label_status,sha256,scientific_name,gbif_key,occurrence_url,image_url,license,rights_holder,publisher,dataset_name
campo_aug_semele_edbff76a5f,aug_semele,aug_semele,/home/gabrielmaciel/identificadordeabelha/data/raw/images/gbif_demo_v3/Augichloropsis semele/Indivíduo 1 - Cabeça 3.jpg,campo_proprio,cabeça 3,BeeAI Team,validated,b910d8c82b017aa405364ef85c5e11f2ce59a1bdcfa4b1ed9d5f25774d56641d,Augichloropsis semele,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026
campo_aug_semele_507241d873,aug_semele,aug_semele,/home/gabrielmaciel/identificadordeabelha/data/raw/images/gbif_demo_v3/Augichloropsis semele/Indivíduo 1 - Geral.jpg,campo_proprio,geral,BeeAI Team,validated,82cde8653413189d76aa6493e79a3e5f80fb0c1ae8f325e266818ee76c40255b,Augichloropsis semele,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026
campo_aug_semele_2dc95d894f,aug_semele,aug_semele,/home/gabrielmaciel/identificadordeabelha/data/raw/images/gbif_demo_v3/Augichloropsis semele/Indivíduo 1 - Metaposnoto 3.jpg,campo_proprio,metaposnoto 3,BeeAI Team,validated,78b8a82694927a5b13efd828064c8921c0f6ef986c76061041e1724a1a011336,Augichloropsis semele,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026
campo_aug_semele_39e2c78bcf,aug_semele,aug_semele,/home/gabrielmaciel/identificadordeabelha/data/raw/images/gbif_demo_v3/Augichloropsis semele/Indivíduo 1 - Tergo 3.jpg,campo_proprio,tergo 3,BeeAI Team,validated,14b12b3ebb4bbc63551a5cbb4c4abb10c84bddc9ad7e481a8cbfd846d4d8026d,Augichloropsis semele,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026
campo_aug_semele_071dbce655,aug_semele,aug_semele,/home/gabrielmaciel/identificadordeabelha/data/raw/images/gbif_demo_v3/Augichloropsis semele/Indivíduo 1 - Tórax 3.jpg,campo_proprio,tórax 3,BeeAI Team,validated,443bdf8a05e6afda6c9bfe6fe9499f4c2dc70f509907a77a515f0fa382baaeb2,Augichloropsis semele,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026
campo_aug_semele_a1a5c07982,aug_semele,aug_semele,/home/gabrielmaciel/identificadordeabelha/data/raw/images/gbif_demo_v3/Augichloropsis semele/Indivíduo 1 - Tórax.jpg,campo_proprio,tórax,BeeAI Team,validated,0cb779e44ca631b3a785e23a1c239948d719d5d1e1ef4d5d1232bb66cb892418,Augichloropsis semele,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026
campo_aug_cleopatra_d6ca6029e5,aug_cleopatra,aug_cleopatra,/home/gabrielmaciel/identificadordeabelha/data/raw/images/gbif_demo_v3/Augochloropsis cleopatra/Indivíduo 1 - Cabeça 3.jpg,campo_proprio,cabeça 3,BeeAI Team,validated,a80874f10c6f546361c083b1b28ccbf59cba869afdd9e66036e928b371ba166a,Augochloropsis cleopatra,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026
campo_aug_cleopatra_10f4a05b7e,aug_cleopatra,aug_cleopatra,/home/gabrielmaciel/identificadordeabelha/data/raw/images/gbif_demo_v3/Augochloropsis cleopatra/Indivíduo 1 - Geral.jpg,campo_proprio,geral,BeeAI Team,validated,1e4b18acbea6bb21c9642760970e761a96893379a60babb8d4b86e30bd596480,Augochloropsis cleopatra,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026
campo_aug_cleopatra_2f664d38a7,aug_cleopatra,aug_cleopatra,/home/gabrielmaciel/identificadordeabelha/data/raw/images/gbif_demo_v3/Augochloropsis cleopatra/Indivíduo 1 - Metaposnoto 3.jpg,campo_proprio,metaposnoto 3,BeeAI Team,validated,f458cc08bfc6a12f353056622834f068b0eed61538515806caf956210c3d7bd7,Augochloropsis cleopatra,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026
campo_aug_cleopatra_ca61520b7b,aug_cleopatra,aug_cleopatra,/home/gabrielmaciel/identificadordeabelha/data/raw/images/gbif_demo_v3/Augochloropsis cleopatra/Indivíduo 1 - Tergo 3.jpg,campo_proprio,tergo 3,BeeAI Team,validated,63d2f4f1386cc4ef3e623ea585e7f3940b72d89344a8290762ed4fc8957c35a3,Augochloropsis cleopatra,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026
campo_aug_cleopatra_173d297908,aug_cleopatra,aug_cleopatra,/home/gabrielmaciel/identificadordeabelha/data/raw/images/gbif_demo_v3/Augochloropsis cleopatra/Indivíduo 1 - Tórax 3 certo.jpg,campo_proprio,tórax 3 certo,BeeAI Team,validated,fa5d93af22fb6cbd39e978bcf9a05f774612367983f329710f0b170354acfeaf,Augochloropsis cleopatra,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026
campo_aug_cupreola_7cee562365,aug_cupreola,aug_cupreola,/home/gabrielmaciel/identificadordeabelha/data/raw/images/gbif_demo_v3/Augochloropsis cupreola/Indivíduo 1 - Cabeça 3.jpg,campo_proprio,cabeça 3,BeeAI Team,validated,3bf74bcf0930db230c614856fac69656acdc6994d0e24c0552d2d8a79a46c8f9,Augochloropsis cupreola,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026
campo_aug_cupreola_e26f384954,aug_cupreola,aug_cupreola,/home/gabrielmaciel/identificadordeabelha/data/raw/images/gbif_demo_v3/Augochloropsis cupreola/Indivíduo 1 - Geral.jpg,campo_proprio,geral,BeeAI Team,validated,ef7e360ccc7e6fef9e87c6fbe7297fa451483270cf6684ed08df0d8e9b7a6145,Augochloropsis cupreola,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026
campo_aug_cupreola_1a6c53fd36,aug_cupreola,aug_cupreola,/home/gabrielmaciel/identificadordeabelha/data/raw/images/gbif_demo_v3/Augochloropsis cupreola/Indivíduo 1 - Metaposnoto 3.jpg,campo_proprio,metaposnoto 3,BeeAI Team,validated,d6fa1c4a10cbe538b57665247d4bd40cd0cfad92be8e5c0fd51317322db6666d,Augochloropsis cupreola,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026
campo_aug_cupreola_4829c0acf1,aug_cupreola,aug_cupreola,/home/gabrielmaciel/identificadordeabelha/data/raw/images/gbif_demo_v3/Augochloropsis cupreola/Indivíduo 1 - Tergo 3.jpg,campo_proprio,tergo 3,BeeAI Team,validated,ae8b0d2556c9e233a5b4a072d50a829613e025138eb79a6a8ca38af3b118bb57,Augochloropsis cupreola,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026
