image_id,specimen_id,species_code,file_path,source,view_type,annotator,label_status,sha256,scientific_name,gbif_key,occurrence_url,image_url,license,rights_holder,publisher,dataset_name
campo_aug_semele_7a688cf2ef,campo_aug_semele_7a688cf2ef,aug_semele,/home/gabrielmaciel/identificadordeabelha/data/raw/images/dataset_combinado_aug/aug_semele/individuo_1_Cabeça3_orig.jpg,campo_proprio_aug,cabeça 3,BeeAI Team,validated,e8d8a5ebfe70e14fe52ee7f5e7a779001026ad18a3478d0de0ffa3e53c0d5394,Augichloropsis semele,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026_combinado
campo_aug_semele_c2fdc9aa3f,campo_aug_semele_c2fdc9aa3f,aug_semele,/home/gabrielmaciel/identificadordeabelha/data/raw/images/dataset_combinado_aug/aug_semele/individuo_1_Cabeça3_aug01.jpg,campo_proprio_aug,cabeça 3,BeeAI Team,validated,5e89e185adaf9bef55003024b9e82ae8408e3e5a39f718dc71863a246fff778e,Augichloropsis semele,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026_combinado
campo_aug_semele_ccbfc3ad9d,campo_aug_semele_ccbfc3ad9d,aug_semele,/home/gabrielmaciel/identificadordeabelha/data/raw/images/dataset_combinado_aug/aug_semele/individuo_1_Cabeça3_aug02.jpg,campo_proprio_aug,cabeça 3,BeeAI Team,validated,7b93e8cb8a3e3d9ed05bfc34484b1dbe237d2bc70f7f38453b80acc4acb23d56,Augichloropsis semele,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026_combinado
campo_aug_semele_b86d71872c,campo_aug_semele_b86d71872c,aug_semele,/home/gabrielmaciel/identificadordeabelha/data/raw/images/dataset_combinado_aug/aug_semele/individuo_1_Cabeça3_aug03.jpg,campo_proprio_aug,cabeça 3,BeeAI Team,validated,7e6c1cc7d3b206d3f8dcec137d0d1d4bd6fcd24d44d7664f279c7a1479cda5ba,Augichloropsis semele,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026_combinado
campo_aug_semele_fde206992f,campo_aug_semele_fde206992f,aug_semele,/home/gabrielmaciel/identificadordeabelha/data/raw/images/dataset_combinado_aug/aug_semele/individuo_1_Cabeça3_aug04.jpg,campo_proprio_aug,cabeça 3,BeeAI Team,validated,66ca015c6d1a59ee7a96fbd55d4364d9851c48ad97de5282887508ed5e3c2e98,Augichloropsis semele,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026_combinado
campo_aug_semele_14d6cdb548,campo_aug_semele_14d6cdb548,aug_semele,/home/gabrielmaciel/identificadordeabelha/data/raw/images/dataset_combinado_aug/aug_semele/individuo_1_Cabeça3_aug05.jpg,campo_proprio_aug,cabeça 3,BeeAI Team,validated,a80ea98b4940d7ce7a24311f88b7689697d5faa210fb0e4a54d69e75a32afb6f,Augichloropsis semele,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026_combinado
campo_aug_semele_7d43314d37,campo_aug_semele_7d43314d37,aug_semele,/home/gabrielmaciel/identificadordeabelha/data/raw/images/dataset_combinado_aug/aug_semele/individuo_1_Cabeça3_aug06.jpg,campo_proprio_aug,cabeça 3,BeeAI Team,validated,248be609260a3ad30821a38e4127e5c241687b8691b160154190072727170dc3,Augichloropsis semele,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026_combinado
campo_aug_semele_bf219caea4,campo_aug_semele_bf219caea4,aug_semele,/home/gabrielmaciel/identificadordeabelha/data/raw/images/dataset_combinado_aug/aug_semele/individuo_1_Cabeça3_aug07.jpg,campo_proprio_aug,cabeça 3,BeeAI Team,validated,472068d0a4726b27c5f5c32eb142bd28f7b690e8047e26417d9873d9263f12d7,Augichloropsis semele,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026_combinado
campo_aug_semele_a9f12cfadf,campo_aug_semele_a9f12cfadf,aug_semele,/home/gabrielmaciel/identificadordeabelha/data/raw/images/dataset_combinado_aug/aug_semele/individuo_1_Cabeça3_aug08.jpg,campo_proprio_aug,cabeça 3,BeeAI Team,validated,3ec97a5578399ccbd0e565bca13a3b1ad18b7d0d2cc3c8cb4ec8004b112b90a2,Augichloropsis semele,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026_combinado
campo_aug_semele_debb19636d,campo_aug_semele_debb19636d,aug_semele,/home/gabrielmaciel/identificadordeabelha/data/raw/images/dataset_combinado_aug/aug_semele/individuo_1_Cabeça3_aug09.jpg,campo_proprio_aug,cabeça 3,BeeAI Team,validated,ea9b54e3a74adc95e059db8a89580743c682b83f13085ccc85d1ab3811de76fa,Augichloropsis semele,,,,CC-BY-4.0,BeeAI Team,ENGEPLUS,campo_2026_combinado
